Timestamp,Solar Bus Voltage (V),Solar Shunt Voltage (V),Solar Current (A),Solar Power (mW),Battery Bus Voltage (V),Battery Shunt Voltage (V),Battery Current (A),Battery Power (mW)
2024-08-19 17:23:32,3.776,0.001280,0.013,48.333,3.588,0.000940,0.009,33.727
2024-08-19 17:23:34,3.780,0.001270,0.013,48.006,3.588,0.000940,0.009,33.727
2024-08-19 17:23:36,3.776,0.001270,0.013,47.955,3.588,0.000940,0.009,33.727
2024-08-19 17:23:38,3.780,0.001270,0.013,48.006,3.588,0.000940,0.009,33.727
2024-08-19 17:23:40,3.780,0.001260,0.013,47.628,3.588,0.000940,0.009,33.727
2024-08-19 17:23:43,3.780,0.001260,0.013,47.628,3.588,0.000930,0.009,33.368
2024-08-19 17:23:45,3.780,0.001260,0.013,47.628,3.588,0.000940,0.009,33.727
2024-08-19 17:23:47,3.780,0.001260,0.013,47.628,3.588,0.000940,0.009,33.727
2024-08-19 17:23:49,3.776,0.001260,0.013,47.578,3.588,0.000940,0.009,33.727
2024-08-19 17:23:52,3.776,0.001260,0.013,47.578,3.588,0.000940,0.009,33.368
2024-08-19 17:23:54,3.780,0.001260,0.013,47.628,3.588,0.000940,0.009,33.727
2024-08-19 17:23:56,3.776,0.001260,0.013,47.578,3.588,0.000930,0.009,33.727
2024-08-19 17:23:59,3.772,0.001110,0.011,41.869,3.588,0.000790,0.008,28.345
2024-08-19 17:24:01,3.776,0.001100,0.011,41.536,3.588,0.000800,0.008,28.704
2024-08-19 17:24:03,3.776,0.001100,0.011,41.914,3.588,0.000790,0.008,28.345
2024-08-19 17:24:05,3.776,0.001110,0.011,41.914,3.588,0.000790,0.008,28.345
2024-08-19 17:24:08,3.772,0.001080,0.011,40.738,3.588,0.000780,0.008,27.986
2024-08-19 17:24:10,3.776,0.001100,0.011,41.536,3.588,0.000790,0.008,28.345
2024-08-19 17:24:12,3.776,0.001110,0.011,41.914,3.588,0.000790,0.008,28.345
2024-08-19 17:24:14,3.776,0.001100,0.011,41.536,3.588,0.000790,0.008,28.345
2024-08-19 17:24:17,3.776,0.001110,0.011,41.914,3.588,0.000800,0.008,28.704
2024-08-19 17:24:19,3.772,0.001100,0.011,41.492,3.588,0.000780,0.008,27.986
2024-08-19 17:24:21,3.752,0.000540,0.005,20.261,3.588,0.000270,0.003,10.046
2024-08-19 17:24:23,3.776,0.001180,0.012,44.557,3.588,0.000870,0.009,31.216
2024-08-19 17:24:26,3.776,0.001180,0.012,44.557,3.588,0.000870,0.009,31.216
